cont_comuna,prevision,2021-12-07,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06
Alhué,FONASA,1.0,,,1.0,2.0,1.0,3.0,2.0,4.0,1.0,,,,1.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,5.0,4.0,3.0,2.0,1.0,1.0
Andacollo,FONASA,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
Angol,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,FONASA,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0
Arica,FONASA,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
Buin,CAPREDENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buin,DESCONOCIDO,1.0,2.0,1.0,4.0,2.0,3.0,1.0,3.0,1.0,6.0,6.0,8.0,6.0,4.0,4.0,4.0,6.0,3.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,,,
Buin,FONASA,9.0,12.0,15.0,22.0,25.0,31.0,31.0,26.0,23.0,33.0,34.0,32.0,42.0,31.0,28.0,24.0,26.0,15.0,34.0,29.0,14.0,17.0,9.0,14.0,17.0,10.0,18.0,16.0,14.0,20.0,16.0,14.0,21.0,18.0,12.0,9.0,7.0
Buin,ISAPRE,1.0,3.0,2.0,2.0,4.0,6.0,5.0,4.0,9.0,6.0,7.0,4.0,8.0,6.0,7.0,8.0,7.0,7.0,9.0,8.0,5.0,4.0,4.0,5.0,3.0,2.0,1.0,4.0,5.0,2.0,1.0,1.0,,1.0,,,
Bulnes,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
