comuna_estab_deis,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31
Alhué,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,6.0,1.0,5.0,4.0,3.0,8.0,6.0,4.0,3.0,1.0,4.0,,6.0,5.0,4.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,,,,2.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,1.0
Alto Hospicio,1.0,,1.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Angol,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,2.0,
Buin,25.0,27.0,22.0,29.0,22.0,16.0,41.0,34.0,29.0,39.0,27.0,40.0,29.0,36.0,27.0,27.0,26.0,50.0,29.0,40.0,28.0,32.0,40.0,41.0,38.0,32.0,24.0,20.0,23.0,20.0,32.0,26.0,29.0,22.0,27.0,18.0,12.0,12.0,22.0,17.0,26.0,9.0,24.0,16.0,9.0,27.0,10.0,12.0,15.0,15.0,7.0,14.0,6.0,19.0,6.0,10.0,8.0,12.0,10.0,11.0,9.0
Calera,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
Calera de Tango,2.0,9.0,8.0,10.0,5.0,5.0,9.0,11.0,7.0,11.0,7.0,9.0,7.0,8.0,3.0,4.0,7.0,10.0,11.0,15.0,18.0,6.0,16.0,11.0,9.0,13.0,9.0,15.0,11.0,10.0,10.0,8.0,5.0,5.0,3.0,8.0,2.0,4.0,,1.0,5.0,1.0,2.0,1.0,,1.0,,1.0,,2.0,1.0,2.0,,1.0,2.0,1.0,,2.0,3.0,2.0,3.0
Cartagena,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,
Castro,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,2.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Cauquenes,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,2.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,
Cañete,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,
Cerrillos,12.0,17.0,14.0,12.0,14.0,17.0,27.0,39.0,29.0,28.0,23.0,19.0,22.0,29.0,27.0,41.0,47.0,34.0,40.0,43.0,27.0,23.0,26.0,27.0,21.0,22.0,23.0,26.0,20.0,18.0,18.0,13.0,18.0,22.0,25.0,18.0,10.0,12.0,11.0,8.0,7.0,5.0,4.0,9.0,8.0,7.0,4.0,6.0,5.0,6.0,7.0,8.0,6.0,9.0,10.0,7.0,7.0,6.0,4.0,4.0,2.0
Cerro Navia,33.0,30.0,31.0,27.0,25.0,17.0,58.0,44.0,68.0,62.0,67.0,59.0,58.0,61.0,43.0,59.0,58.0,61.0,62.0,60.0,57.0,52.0,59.0,63.0,52.0,55.0,46.0,44.0,33.0,36.0,40.0,29.0,43.0,40.0,35.0,32.0,17.0,19.0,21.0,10.0,21.0,23.0,12.0,26.0,17.0,14.0,24.0,18.0,18.0,20.0,10.0,17.0,10.0,14.0,15.0,9.0,10.0,8.0,7.0,8.0,6.0
Chillán ,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,3.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0
Colbún,1.0,,2.0,1.0,,2.0,1.0,,1.0,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
Colina,20.0,18.0,20.0,23.0,17.0,23.0,42.0,23.0,34.0,23.0,28.0,31.0,31.0,30.0,29.0,37.0,55.0,53.0,53.0,55.0,40.0,47.0,48.0,42.0,34.0,44.0,26.0,26.0,31.0,16.0,27.0,24.0,24.0,25.0,21.0,20.0,14.0,19.0,19.0,9.0,12.0,18.0,8.0,19.0,14.0,22.0,20.0,23.0,17.0,17.0,12.0,15.0,11.0,9.0,16.0,8.0,8.0,11.0,14.0,8.0,12.0
Concepción,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,2.0,
Conchalí,33.0,18.0,16.0,28.0,17.0,21.0,46.0,43.0,57.0,39.0,52.0,69.0,62.0,55.0,46.0,64.0,69.0,71.0,86.0,64.0,86.0,59.0,62.0,77.0,63.0,64.0,50.0,45.0,46.0,31.0,48.0,28.0,30.0,31.0,31.0,27.0,14.0,21.0,18.0,12.0,19.0,10.0,13.0,12.0,8.0,11.0,14.0,6.0,11.0,15.0,6.0,7.0,14.0,9.0,6.0,12.0,5.0,13.0,8.0,23.0,17.0
Copiapó,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
Coquimbo,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,3.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,,,3.0,1.0,2.0,1.0,2.0,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,2.0,,2.0,,1.0,3.0,1.0
Coronel,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
