cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05
Aisén,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,2.0,,,2.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,
Alhué,,2.0,2.0,2.0,2.0,5.0,4.0,3.0,4.0,3.0,8.0,1.0,6.0,3.0,3.0,7.0,9.0,4.0,2.0,3.0,4.0,,7.0,5.0,5.0,5.0,3.0,3.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,1.0,3.0,,,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,
Ancud,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,1.0,6.0,2.0,2.0,7.0,4.0,6.0,1.0,3.0,5.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,9.0,4.0,2.0,3.0,6.0,4.0,3.0,6.0,6.0,4.0,3.0,5.0,1.0,2.0,4.0,4.0,,1.0,,3.0,2.0,6.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,,,6.0,5.0,,3.0,6.0,2.0,6.0,,1.0,6.0,1.0,4.0,4.0,2.0,2.0,4.0,,1.0
Arica,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,2.0,1.0,,1.0,2.0,,1.0,2.0,2.0,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,2.0,,2.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,
Buin,27.0,28.0,24.0,31.0,29.0,18.0,53.0,48.0,43.0,47.0,32.0,47.0,34.0,43.0,31.0,31.0,32.0,57.0,43.0,51.0,39.0,32.0,47.0,49.0,41.0,36.0,28.0,23.0,28.0,22.0,40.0,31.0,27.0,24.0,30.0,19.0,15.0,14.0,23.0,21.0,26.0,8.0,26.0,19.0,11.0,29.0,15.0,11.0,17.0,19.0,10.0,14.0,7.0,22.0,12.0,12.0,11.0,13.0,12.0,14.0,14.0,13.0,13.0,15.0,10.0,17.0
Bulnes,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
Calama,1.0,1.0,2.0,,,,1.0,2.0,1.0,2.0,1.0,,1.0,,,2.0,,1.0,2.0,2.0,,2.0,,,2.0,1.0,,2.0,3.0,,4.0,,2.0,1.0,,,,,,1.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,,,2.0,1.0,,,2.0,,,,,,1.0,,,1.0,
Calbuco,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,2.0,1.0,,1.0,,,,,,,,,1.0,,1.0,2.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
Calera,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,
Calera de Tango,4.0,11.0,9.0,11.0,6.0,6.0,11.0,12.0,9.0,14.0,9.0,12.0,8.0,10.0,4.0,8.0,12.0,11.0,13.0,18.0,17.0,6.0,21.0,9.0,16.0,14.0,12.0,13.0,13.0,10.0,15.0,11.0,7.0,8.0,4.0,10.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,3.0,2.0,2.0,4.0,2.0,5.0,4.0,5.0,5.0,6.0,5.0,4.0,2.0
Calle Larga,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerrillos,18.0,20.0,17.0,19.0,14.0,15.0,24.0,30.0,25.0,25.0,24.0,22.0,26.0,23.0,25.0,30.0,41.0,41.0,37.0,41.0,27.0,23.0,26.0,32.0,27.0,19.0,17.0,25.0,15.0,27.0,24.0,19.0,25.0,22.0,30.0,14.0,12.0,11.0,12.0,8.0,12.0,7.0,5.0,8.0,8.0,7.0,5.0,6.0,3.0,6.0,4.0,3.0,4.0,6.0,9.0,6.0,6.0,3.0,6.0,5.0,2.0,8.0,3.0,3.0,4.0,1.0
Cerro Navia,35.0,34.0,35.0,30.0,36.0,18.0,54.0,53.0,69.0,71.0,74.0,57.0,67.0,67.0,53.0,61.0,59.0,72.0,67.0,61.0,60.0,54.0,60.0,66.0,51.0,70.0,52.0,51.0,39.0,42.0,42.0,34.0,49.0,43.0,37.0,42.0,23.0,26.0,25.0,15.0,26.0,25.0,15.0,25.0,19.0,18.0,21.0,24.0,14.0,20.0,13.0,14.0,11.0,15.0,17.0,9.0,12.0,6.0,4.0,7.0,4.0,6.0,5.0,6.0,12.0,7.0
Chiguayante,2.0,,,,,,,,,,,,,1.0,,,3.0,,1.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,3.0,,1.0,3.0,2.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,4.0
Chillán,2.0,4.0,2.0,2.0,3.0,5.0,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,,,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,,2.0,,1.0,2.0,2.0,,1.0,3.0,2.0,3.0,4.0,5.0,3.0,1.0,4.0,5.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,,,1.0,,
Chillán Viejo,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimbarongo,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0
Chonchi,1.0,,2.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colina,28.0,21.0,30.0,28.0,19.0,33.0,78.0,49.0,61.0,48.0,51.0,45.0,49.0,56.0,45.0,62.0,75.0,77.0,68.0,74.0,55.0,51.0,63.0,57.0,50.0,60.0,38.0,40.0,40.0,28.0,35.0,32.0,32.0,35.0,30.0,23.0,15.0,25.0,26.0,21.0,18.0,26.0,16.0,23.0,18.0,28.0,24.0,30.0,27.0,26.0,19.0,23.0,19.0,19.0,24.0,14.0,24.0,23.0,24.0,34.0,30.0,48.0,36.0,36.0,36.0,34.0
Collipulli,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
