cont_comuna,prevision,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30
Aisén,FONASA,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,
Aisén,NINGUNA,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
Algarrobo,FONASA,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Alhué,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Alhué,FONASA,3.0,2.0,2.0,3.0,7.0,1.0,5.0,3.0,3.0,7.0,6.0,3.0,2.0,1.0,4.0,,6.0,5.0,4.0,3.0,2.0,3.0,1.0,3.0,,1.0,1.0,2.0,,3.0
Alhué,ISAPRE,1.0,1.0,1.0,,1.0,,1.0,,,,3.0,1.0,,2.0,,,1.0,,1.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,1.0,1.0
Alhué,NINGUNA,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancud,FONASA,1.0,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
Andacollo,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Andacollo,FONASA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angol,FONASA,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,DESCONOCIDO,1.0,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,
Antofagasta,FONASA,2.0,1.0,,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,,1.0,
Antofagasta,ISAPRE,3.0,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,1.0,4.0,1.0,1.0,,,3.0,2.0,2.0,,2.0,1.0,,,1.0,,1.0,,,
Antofagasta,NINGUNA,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arauco,FONASA,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,1.0,,,
Arica,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,
Arica,DIPRECA,,,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,
Arica,FONASA,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,1.0
Arica,ISAPRE,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Arica,NINGUNA,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,
Buin,DESCONOCIDO,3.0,1.0,2.0,1.0,5.0,3.0,4.0,1.0,6.0,1.0,3.0,6.0,5.0,8.0,2.0,4.0,3.0,5.0,2.0,1.0,3.0,,2.0,2.0,7.0,4.0,3.0,3.0,1.0,3.0
Buin,DIPRECA,,,,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
Buin,FONASA,44.0,41.0,33.0,38.0,23.0,33.0,21.0,32.0,19.0,22.0,21.0,42.0,34.0,36.0,28.0,24.0,33.0,36.0,26.0,26.0,18.0,16.0,21.0,15.0,21.0,21.0,16.0,18.0,26.0,10.0
Buin,ISAPRE,5.0,6.0,8.0,7.0,4.0,7.0,5.0,4.0,3.0,6.0,6.0,8.0,4.0,5.0,6.0,3.0,8.0,7.0,11.0,7.0,7.0,7.0,5.0,5.0,11.0,5.0,7.0,1.0,2.0,6.0
Buin,NINGUNA,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,
Bulnes,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0
Bulnes,ISAPRE,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Calama,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Calama,FONASA,,2.0,1.0,1.0,1.0,,1.0,,,2.0,,1.0,2.0,2.0,,2.0,,,2.0,1.0,,2.0,2.0,,2.0,,1.0,1.0,,
Calama,ISAPRE,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,
Calbuco,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0
Calbuco,FONASA,,,,,,,,,,1.0,,,2.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,
Calbuco,ISAPRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Caldera,FONASA,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,
Calera de Tango,DESCONOCIDO,1.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,,2.0,,1.0,
Calera de Tango,FONASA,5.0,7.0,5.0,9.0,4.0,8.0,5.0,7.0,2.0,5.0,9.0,8.0,11.0,15.0,15.0,6.0,15.0,6.0,10.0,8.0,9.0,8.0,9.0,6.0,9.0,6.0,2.0,4.0,2.0,7.0
Calera de Tango,ISAPRE,3.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,,2.0,2.0,,3.0,,4.0,2.0,1.0,3.0,2.0,1.0,5.0,4.0,3.0,3.0,1.0,2.0
Calle Larga,ISAPRE,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartagena,FONASA,,,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,1.0
Castro,DESCONOCIDO,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Castro,FONASA,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,
Castro,ISAPRE,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
Cañete,FONASA,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
Cerrillos,CAPREDENA,,,,,,,,,,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,
Cerrillos,DESCONOCIDO,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,6.0,8.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,,,2.0,,2.0,1.0,3.0,3.0,
Cerrillos,FONASA,19.0,21.0,18.0,20.0,18.0,17.0,18.0,14.0,16.0,20.0,26.0,25.0,22.0,25.0,14.0,14.0,15.0,20.0,18.0,12.0,12.0,20.0,11.0,19.0,19.0,13.0,20.0,14.0,24.0,12.0
Cerrillos,ISAPRE,2.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,6.0,4.0,3.0,8.0,4.0,10.0,6.0,5.0,8.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,5.0,3.0,3.0,5.0,,2.0
Cerrillos,NINGUNA,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,
Cerro Navia,CAPREDENA,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Cerro Navia,DESCONOCIDO,3.0,1.0,2.0,3.0,2.0,2.0,6.0,8.0,3.0,5.0,4.0,4.0,6.0,6.0,5.0,2.0,4.0,6.0,1.0,4.0,,2.0,3.0,,2.0,2.0,3.0,3.0,2.0,4.0
Cerro Navia,FONASA,45.0,47.0,58.0,58.0,61.0,49.0,53.0,54.0,43.0,49.0,48.0,58.0,54.0,50.0,49.0,46.0,51.0,55.0,47.0,64.0,48.0,47.0,33.0,40.0,38.0,32.0,44.0,40.0,33.0,35.0
Cerro Navia,ISAPRE,3.0,2.0,5.0,6.0,8.0,4.0,7.0,3.0,5.0,6.0,5.0,8.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,,2.0,,2.0,3.0
Cerro Navia,NINGUNA,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
Chaitén,FONASA,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Chañaral,FONASA,,,1.0,,,,,,,,4.0,,1.0,3.0,2.0,1.0,,4.0,,,,,,,,,,,,
Chiguayante,FONASA,,,,,,,,1.0,,,3.0,,1.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,3.0,,1.0,3.0,2.0,1.0,2.0,,1.0,
Chillán,DESCONOCIDO,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Chillán,FONASA,1.0,,,2.0,1.0,1.0,1.0,2.0,,,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,,2.0,,1.0,2.0,2.0,,1.0,2.0,2.0
Chillán Viejo,FONASA,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0
Chimbarongo,FONASA,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,
Chonchi,FONASA,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
Chonchi,ISAPRE,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,
Codegua,FONASA,,,,,,,,,,1.0,1.0,,,3.0,,3.0,,,3.0,,,,,,,,,,,
Codegua,ISAPRE,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,
Coihueco,FONASA,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,
Coinco,FONASA,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,
Colbún,FONASA,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Colina,CAPREDENA,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
