comuna_estab_deis,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21
Alhué,9.0,,,2.0,,,7.0,,4.0,,,6.0,,2.0,13.0,1.0,6.0,11.0,9.0,6.0,5.0,8.0,9.0,6.0,1.0,6.0,2.0,2.0,3.0,3.0,7.0,,2.0,13.0,,,,,,,,2.0,,1.0,2.0,,1.0,2.0,,1.0,
Arica,,,,1.0,,,,4.0,,1.0,2.0,1.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,
Buin,32.0,24.0,40.0,35.0,23.0,33.0,44.0,32.0,56.0,44.0,36.0,41.0,24.0,37.0,37.0,31.0,36.0,48.0,41.0,41.0,32.0,47.0,60.0,48.0,39.0,38.0,52.0,29.0,17.0,27.0,29.0,36.0,41.0,33.0,44.0,43.0,22.0,20.0,27.0,17.0,13.0,30.0,18.0,31.0,31.0,16.0,33.0,20.0,13.0,12.0,11.0
Calbuco,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calera de Tango,8.0,12.0,4.0,5.0,12.0,1.0,5.0,9.0,9.0,13.0,9.0,8.0,12.0,5.0,5.0,17.0,12.0,9.0,16.0,24.0,11.0,20.0,21.0,21.0,16.0,8.0,32.0,11.0,15.0,25.0,18.0,5.0,11.0,10.0,8.0,12.0,3.0,7.0,2.0,4.0,3.0,7.0,,2.0,6.0,2.0,1.0,2.0,5.0,5.0,1.0
Cartagena,1.0,,,1.0,,,2.0,1.0,,2.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Cauquenes,,1.0,4.0,4.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,4.0,,,,,,,,,,,,,,,
Cañete,,4.0,,,4.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Cerrillos,25.0,25.0,33.0,24.0,17.0,11.0,30.0,42.0,37.0,34.0,51.0,47.0,33.0,46.0,41.0,33.0,38.0,52.0,29.0,52.0,71.0,33.0,58.0,46.0,48.0,35.0,20.0,48.0,27.0,29.0,23.0,30.0,35.0,22.0,32.0,43.0,11.0,25.0,8.0,6.0,15.0,6.0,10.0,11.0,5.0,13.0,5.0,4.0,12.0,2.0,1.0
Cerro Navia,42.0,39.0,42.0,39.0,43.0,37.0,67.0,79.0,95.0,59.0,95.0,91.0,83.0,101.0,91.0,67.0,101.0,69.0,53.0,79.0,66.0,92.0,84.0,93.0,59.0,69.0,92.0,59.0,66.0,56.0,58.0,62.0,36.0,42.0,41.0,36.0,56.0,47.0,13.0,59.0,40.0,21.0,40.0,36.0,31.0,38.0,33.0,18.0,33.0,31.0,24.0
Chillán ,1.0,1.0,,1.0,,1.0,1.0,1.0,,2.0,,,3.0,1.0,,2.0,1.0,9.0,1.0,,9.0,1.0,,,,,,,1.0,,,4.0,,,3.0,,,,3.0,,1.0,3.0,,1.0,,,,,,,
Colbún,,,,,1.0,,,,,,,1.0,,2.0,2.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,
Colina,19.0,36.0,50.0,32.0,41.0,32.0,34.0,37.0,36.0,45.0,46.0,44.0,53.0,44.0,42.0,50.0,44.0,51.0,40.0,77.0,76.0,54.0,68.0,91.0,44.0,36.0,69.0,55.0,40.0,54.0,63.0,35.0,29.0,40.0,31.0,37.0,47.0,31.0,23.0,35.0,16.0,23.0,30.0,21.0,24.0,32.0,40.0,30.0,49.0,32.0,22.0
Concepción,,,1.0,,1.0,,,,1.0,1.0,,1.0,2.0,,1.0,6.0,1.0,1.0,3.0,1.0,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,2.0,5.0,,3.0,4.0,,,,,
Conchalí,26.0,33.0,50.0,29.0,38.0,29.0,37.0,92.0,79.0,61.0,84.0,85.0,62.0,65.0,96.0,117.0,107.0,84.0,108.0,121.0,100.0,80.0,111.0,124.0,88.0,86.0,98.0,76.0,67.0,44.0,71.0,59.0,41.0,50.0,51.0,53.0,29.0,31.0,24.0,26.0,9.0,22.0,25.0,6.0,19.0,17.0,10.0,12.0,31.0,17.0,16.0
Constitución,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,3.0,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,
Copiapó,1.0,,,1.0,,,3.0,,,3.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,
Coquimbo,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,6.0,1.0,,3.0,1.0,1.0,2.0,4.0,,6.0,5.0,3.0,1.0,1.0,,,1.0,,,2.0,,1.0,2.0,,,2.0,2.0,,2.0,1.0,,1.0,,,,,,,,,
Coyhaique,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
Curacaví,11.0,5.0,10.0,13.0,5.0,20.0,11.0,2.0,13.0,10.0,6.0,9.0,5.0,9.0,8.0,9.0,16.0,21.0,10.0,15.0,26.0,22.0,15.0,28.0,26.0,16.0,32.0,24.0,17.0,26.0,21.0,13.0,22.0,8.0,9.0,21.0,1.0,2.0,15.0,,5.0,6.0,2.0,7.0,5.0,8.0,1.0,3.0,10.0,,2.0
Curicó,1.0,,2.0,,1.0,5.0,1.0,,4.0,,,4.0,1.0,,4.0,1.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,,2.0,,2.0,2.0,1.0,2.0,2.0,,1.0,2.0,,2.0,,,2.0,,1.0,2.0,,2.0,2.0,
EJERCICIO LIBRE,101.0,75.0,70.0,135.0,97.0,49.0,148.0,220.0,179.0,165.0,200.0,145.0,176.0,135.0,118.0,190.0,194.0,162.0,203.0,228.0,208.0,209.0,203.0,214.0,131.0,165.0,151.0,132.0,120.0,114.0,138.0,96.0,98.0,113.0,79.0,94.0,163.0,103.0,104.0,152.0,110.0,167.0,153.0,87.0,122.0,131.0,92.0,103.0,89.0,158.0,124.0
El Bosque,39.0,38.0,35.0,32.0,35.0,44.0,56.0,44.0,77.0,53.0,71.0,60.0,33.0,78.0,59.0,49.0,73.0,81.0,70.0,79.0,79.0,92.0,69.0,70.0,80.0,60.0,75.0,81.0,79.0,57.0,74.0,67.0,51.0,42.0,58.0,44.0,37.0,29.0,20.0,41.0,21.0,33.0,43.0,11.0,18.0,29.0,19.0,18.0,29.0,29.0,15.0
