cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10
Aisén,1.0,5.0,1.0,,5.0,,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,3.0,,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,,,4.0,1.0,,1.0,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,
Algarrobo,,,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,2.0,2.0,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Alhué,10.0,,,5.0,,,8.0,,2.0,,,7.0,3.0,3.0,16.0,4.0,9.0,13.0,9.0,7.0,7.0,7.0,9.0,8.0,1.0,6.0,3.0,,3.0,3.0,6.0,1.0,2.0,12.0,,,,,,,,2.0,,1.0,2.0,,1.0,2.0,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,3.0,3.0
Alto Hospicio,3.0,,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,2.0,,1.0,2.0,
Andacollo,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,
Angol,1.0,,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,2.0,,,1.0,,,,1.0,,,,,
Antofagasta,,1.0,1.0,,,4.0,,2.0,,,,,,,,,9.0,,,12.0,,1.0,4.0,1.0,2.0,,,1.0,,,,,,,,,,,4.0,1.0,1.0,1.0,5.0,,,,,,1.0,3.0,,,,5.0,1.0,,4.0,,,1.0,1.0,,,1.0,1.0,,3.0,3.0,,7.0,1.0
Antuco,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,
Arauco,2.0,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arica,10.0,,11.0,5.0,,11.0,1.0,5.0,6.0,3.0,3.0,9.0,7.0,,6.0,3.0,2.0,3.0,7.0,9.0,,3.0,9.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0,3.0,2.0,,8.0,,,2.0,2.0,5.0,2.0,2.0,2.0,1.0,,,,,,,1.0,1.0,,,1.0,,3.0,11.0,1.0,,14.0,1.0,,3.0,2.0,,2.0,8.0,9.0,1.0,7.0,12.0
