_id.dia_seg;count
14-10-2021;1380
13-10-2021;1153
12-10-2021;927
11-10-2021;798
10-10-2021;895
09-10-2021;1012
08-10-2021;993
07-10-2021;900
06-10-2021;797
05-10-2021;737
04-10-2021;494
03-10-2021;500
02-10-2021;653
01-10-2021;598
30-09-2021;743
29-09-2021;710
28-09-2021;762
26-09-2021;519
25-09-2021;663
24-09-2021;683
23-09-2021;699
22-09-2021;608
21-09-2021;531
20-09-2021;352
19-09-2021;361
18-09-2021;377
17-09-2021;410
16-09-2021;510
15-09-2021;432
14-09-2021;436
13-09-2021;328
12-09-2021;470
10-09-2021;422
09-09-2021;430
08-09-2021;411
07-09-2021;429
06-09-2021;346
05-09-2021;349
04-09-2021;430
03-09-2021;502
02-09-2021;451
01-09-2021;475
31-08-2021;532
30-08-2021;415
29-08-2021;442
28-08-2021;608
27-08-2021;596
26-08-2021;650
25-08-2021;617
24-08-2021;572
23-08-2021;476
22-08-2021;524
21-08-2021;630
20-08-2021;615
19-08-2021;658
18-08-2021;688
17-08-2021;681
16-08-2021;594
15-08-2021;641
14-08-2021;736
13-08-2021;801
12-08-2021;682
11-08-2021;745
10-08-2021;735
09-08-2021;788
08-08-2021;871
06-08-2021;818
05-08-2021;772
04-08-2021;869
03-08-2021;861
02-08-2021;694
01-08-2021;736
31-07-2021;817
30-07-2021;792
29-07-2021;860
28-07-2021;862
27-07-2021;874
26-07-2021;827
25-07-2021;882
24-07-2021;982
23-07-2021;1064
22-07-2021;1129
21-07-2021;1105
20-07-2021;1163
19-07-2021;1106
18-07-2021;1093
17-07-2021;1223
16-07-2021;1400
15-07-2021;1476
14-07-2021;1498
13-07-2021;1489
12-07-2021;1466
11-07-2021;1507
10-07-2021;1715
09-07-2021;1820
08-07-2021;2017
07-07-2021;2178
06-07-2021;2183
05-07-2021;2050
04-07-2021;2272
03-07-2021;2418
02-07-2021;2823
01-07-2021;3096
29-06-2021;2888
28-06-2021;2946
27-06-2021;3294
26-06-2021;4042
25-06-2021;4341
24-06-2021;4889
23-06-2021;4482
22-06-2021;4590
21-06-2021;5027
20-06-2021;5441
19-06-2021;6280
18-06-2021;6650
17-06-2021;6703
16-06-2021;7289
15-06-2021;22653
14-06-2021;7265
13-06-2021;7690
12-06-2021;8295
11-06-2021;8970
10-06-2021;9686
09-06-2021;8943
08-06-2021;17914
07-06-2021;8524
06-06-2021;9122
05-06-2021;15916
04-06-2021;9185
03-06-2021;8357
02-06-2021;8339
01-06-2021;8198
31-05-2021;7003
30-05-2021;7496
29-05-2021;8629
28-05-2021;8300
27-05-2021;8745
26-05-2021;8225
25-05-2021;7563
24-05-2021;7134
23-05-2021;6825
22-05-2021;7024
21-05-2021;7361
20-05-2021;7472
19-05-2021;2693
18-05-2021;2307
17-05-2021;2291
16-05-2021;2360
15-05-2021;2507
14-05-2021;2434
13-05-2021;2215
12-05-2021;1941
11-05-2021;1861
10-05-2021;1269
09-05-2021;1656
08-05-2021;1961
07-05-2021;2123
06-05-2021;2176
05-05-2021;2035
04-05-2021;1618
03-05-2021;1723
02-05-2021;677
01-05-2021;2466
30-04-2021;2132
29-04-2021;2278
28-04-2021;2099
27-04-2021;1895
26-04-2021;1533
25-04-2021;2003
24-04-2021;2383
23-04-2021;2166
22-04-2021;2191
21-04-2021;2018
20-04-2021;2011
19-04-2021;1903
18-04-2021;497
17-04-2021;2362
16-04-2021;2343
15-04-2021;2252
14-04-2021;2364
13-04-2021;2406
12-04-2021;2274
11-04-2021;3130
10-04-2021;3882
09-04-2021;4219
08-04-2021;3682
07-04-2021;3508
06-04-2021;3216
05-04-2021;3464
04-04-2021;3960
03-04-2021;4497
02-04-2021;4073
01-04-2021;4050
30-03-2021;3737
29-03-2021;3344
28-03-2021;3678
27-03-2021;3713
26-03-2021;3564
25-03-2021;2841
24-03-2021;3031
23-03-2021;2801
22-03-2021;2097
21-03-2021;818
20-03-2021;2048
19-03-2021;1933
18-03-2021;1774
17-03-2021;1552
16-03-2021;1551
15-03-2021;1673
14-03-2021;1583
13-03-2021;1480
12-03-2021;1408
11-03-2021;1294
10-03-2021;1117
09-03-2021;1035
08-03-2021;1095
07-03-2021;1375
06-03-2021;1014
05-03-2021;914
04-03-2021;783
03-03-2021;687
02-03-2021;584
01-03-2021;611
28-02-2021;479
26-02-2021;539
25-02-2021;445
24-02-2021;395
23-02-2021;363
22-02-2021;375
21-02-2021;411
20-02-2021;506
19-02-2021;486
18-02-2021;466
17-02-2021;491
16-02-2021;319
15-02-2021;336
14-02-2021;395
13-02-2021;455
12-02-2021;430
11-02-2021;400
10-02-2021;417
09-02-2021;328
08-02-2021;326
07-02-2021;420
06-02-2021;471
05-02-2021;458
04-02-2021;446
03-02-2021;471
02-02-2021;420
01-02-2021;396
31-01-2021;549
30-01-2021;668
29-01-2021;612
28-01-2021;556
27-01-2021;512
26-01-2021;499
25-01-2021;502
24-01-2021;664
23-01-2021;664
22-01-2021;728
20-01-2021;698
19-01-2021;637
18-01-2021;794
17-01-2021;1004
16-01-2021;959
15-01-2021;1016
14-01-2021;1719
13-01-2021;1280
12-01-2021;1342
11-01-2021;1314
10-01-2021;1285
09-01-2021;1457
08-01-2021;1076
07-01-2021;1099
06-01-2021;950
05-01-2021;782
04-01-2021;889
03-01-2021;863
02-01-2021;939
01-01-2021;972
